target,BJD,RV_mlc_nzp,e_RV_mlc_nzp
HD69830,2453366.80023812,30297.9768501725,0.402864555915804
HD69830,2453366.80129142,30298.9074887848,0.394350962356879
HD69830,2453366.80235628,30297.8812534068,0.406588912482342
HD69830,2453366.80337485,30298.087148202,0.406581421364335
HD69830,2453366.80443972,30299.0671859452,0.410802674863332
HD69830,2453366.80548143,30298.6798967416,0.404833687537236
HD69830,2453366.80655788,30300.3695577181,0.408624355513311
HD69830,2453366.80758802,30299.0517404335,0.408761237608531
HD69830,2453400.7067785,30296.993072416,0.390289101492492
HD69830,2453400.71168591,30298.6220786348,0.383233956377756
HD69830,2453401.69742679,30298.7578022848,0.230262012717727
HD69830,2453402.70107126,30298.5676261521,0.218758915891281
HD69830,2453402.70541153,30297.6577254731,0.208546401827338
HD69830,2453403.72970255,30295.8165159242,0.176941860818245
HD69830,2453403.73415856,30296.5698291833,0.178186663962102
HD69830,2453404.67442065,30294.4918882713,0.192098293085791
HD69830,2453404.67755721,30294.6709711775,0.194525704971883
HD69830,2453404.68069377,30293.8414098642,0.191209735031135
HD69830,2453405.77771275,30293.2030358434,0.239382287071832
HD69830,2453405.78064097,30292.1838002141,0.247928547189709
HD69830,2453405.78353447,30292.9194945012,0.242969359080682
HD69830,2453406.71877057,30293.5805954188,0.22773493244573
HD69830,2453406.7218261,30293.5269903784,0.221613996571985
HD69830,2453406.72497422,30293.6586052654,0.216431215685826
HD69830,2453407.68047501,30294.7883056775,0.198486544295922
HD69830,2453407.68466478,30294.2810189259,0.193856458429635
HD69830,2453408.64247898,30296.8211550879,0.261498170195752
HD69830,2453408.64556923,30296.764859925,0.249433905197502
HD69830,2453408.64874049,30296.7989418368,0.272144756233473
HD69830,2453409.73887804,30300.9812539448,0.32921638329925
HD69830,2453409.74199142,30301.4970968329,0.324779799437584
HD69830,2453409.74512796,30300.8375098103,0.330191486412524
HD69830,2453410.6643518,30303.2968940779,0.313203899865656
HD69830,2453410.66768508,30302.4701271733,0.304225492392069
HD69830,2453410.67077532,30302.8442003443,0.281238727356724
HD69830,2453411.65482328,30303.1512181658,0.31950243948894
HD69830,2453411.65787879,30303.0894781778,0.305942425621657
HD69830,2453411.66105004,30302.6817789276,0.321392641495579
HD69830,2453412.69605634,30299.794305222,0.303157921855622
HD69830,2453412.69945906,30299.1086763495,0.29688476051063
HD69830,2453412.70259558,30299.5688569499,0.329981656730436
HD69830,2453466.61455129,30293.1062670526,0.326306303821604
HD69830,2453466.61675019,30291.9779646031,0.320033966742128
HD69830,2453466.61899539,30291.6449283019,0.327893944739857
HD69830,2453466.62111328,30292.5507496843,0.363469223815256
HD69830,2453466.62343949,30292.1775583891,0.354456108740069
HD69830,2453467.52012964,30293.0481060598,0.361350908318538
HD69830,2453467.52234012,30292.0102825565,0.3606376143963
HD69830,2453467.52456217,30293.580033708,0.348578505114911
HD69830,2453467.52683051,30293.0622966745,0.358762711176198
HD69830,2453467.52901785,30291.3877484548,0.354899439586085
HD69830,2453491.48192855,30293.984876843,0.237985266993977
HD69830,2453491.48720589,30295.102359643,0.231561431913878
HD69830,2453669.86405407,30302.1312108139,0.215814114381081
HD69830,2453669.86741084,30302.0812189148,0.21150303963075
HD69830,2453669.87101068,30302.2046924773,0.223315509202504
HD69830,2453670.81998015,30302.32539315,0.255363754426467
HD69830,2453670.82345267,30303.0167363039,0.277404222238306
HD69830,2453670.82699464,30303.1236234799,0.253943444782391
HD69830,2453671.84149069,30300.1126710871,0.223730886264031
HD69830,2453671.84503265,30301.343047371,0.21398377003277
HD69830,2453671.84841257,30299.9635565242,0.23309567947144
HD69830,2453672.8498984,30298.45485712,0.233144064477328
HD69830,2453672.85341722,30298.179779409,0.223084565095298
HD69830,2453672.85678557,30298.7766813391,0.244105018682253
HD69830,2453674.87265219,30294.536967857,0.186122318133246
HD69830,2453674.87611314,30295.7472721262,0.186725790054031
